Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,1,24644555149,0.06347466,29.66165543,1,1746
0,1,96796042692,0.023367926,33.57887268,3,1852
0,4,6459536293,0.012039336,45.18675804,4,1859
0,1,4352925647,0.004109027,36.77201271,2,1843
0,1,10367606377,0.002789065,36.56983376,6,1902
0,1,48941830254,0.015813973,31.00728989,8,1793
0,3,36997145457,0.011664601,31.3835144,7,1844
0,4,73430913446,0.045157534,29.73937988,5,1925
0,7,26819941335,0.014007716,22.94564247,10,1879
0,11,4885943825,0.031906811,34.94811058,12,1819
0,3,87606273722,0.006036557,30.78961372,14,1804
0,8,2565248900,0.081506991,33.17213058,19,1833
0,17,44917199127,0.047093833,31.71896935,18,1782
0,15,55340636283,0.001779608,29.30188179,25,1851
0,1,65409447987,0.023623991,30.86352348,16,1819
0,9,66720517315,0.039510043,25.81715584,15,1898
0,26,60839741432,0.041784763,38.21754456,28,1802
0,11,14542860154,0.02461091,41.43691063,20,1780
0,6,47830665802,0.019014153,38.80119324,29,1904
0,21,14392176647,0.006410842,45.39370537,34,1789
0,15,25474915171,0.015158206,21.17729187,23,1861
0,6,26586294273,0.021871605,37.6496315,16,1836
0,12,23869135205,0.011585214,35.86411476,14,1844
0,5,75670146855,0.000425807,31.20446205,21,1865
0,22,83427425427,0.055429294,28.92136574,23,1884
0,10,44299076037,0.024908273,24.70302582,18,1856
0,8,13005237844,0.018844283,22.95660973,20,1850
0,4,63903806697,0.007160094,23.25105667,21,1903
0,1,82608162274,0.041358582,24.3844986,17,1888
0,15,12518636327,0.002951919,17.89712906,21,1876
0,7,66526830628,0.032359429,51.18846893,18,1857
0,13,67819821119,0.004548566,25.52437782,14,1780
0,22,32378513545,0.036782175,17.33064651,22,1804
0,6,41609182416,0.022642395,24.03044701,17,1822
0,5,90865225196,0.006751697,34.08241272,21,1743
0,18,51940206256,0.073442964,36.07201576,24,1886
0,6,14602653372,0.000897782,25.0980854,18,1830
0,23,32158179771,0.026384344,38.76066208,31,1786
0,21,85348941432,0.021289076,39.55745697,25,1847
0,20,92870295926,0.043446848,53.11965942,32,1895
0,9,39467761942,0.016500707,43.83301735,25,1813
0,12,88254548228,0.000399444,34.15775299,24,1861
0,17,31037677361,0.028760098,40.80963135,24,1801
0,17,95362034724,0.101317161,39.20793533,34,1876
0,4,61027146707,0.011557236,34.2028141,20,1883
0,12,37632599739,0.004908016,40.48681259,20,1879
0,6,88436607860,0.0017543,30.28535843,18,1906
0,20,61490645451,0.01480157,22.47595787,22,1885
0,9,27919600349,0.008518601,29.79016304,22,1863
0,1,25316754019,0.000848861,39.15143013,18,1899
0,2,20237997645,0.017172066,39.32714462,24,1835
0,17,61023225527,0.013705219,28.95450592,22,1829
0,3,91877425056,0.017953065,31.09002113,22,1885
0,18,63059758115,0.001334036,39.96396065,21,1931
0,2,70689185605,0.034832965,29.09970284,19,1804
0,5,91687066422,0.010250594,42.47164726,19,1901
0,21,75297296489,0.029500278,22.67789841,32,1887
0,10,68192486957,0.091758104,18.30935478,25,1850
0,8,8839341032,0.000192606,28.69796753,28,1804
0,17,96160256255,0.040613176,33.27989578,29,1900
0,4,77975303225,0.01395358,20.21169662,28,1880
0,25,88561102584,0.015160005,18.27335358,38,1952
0,14,39855299261,0.006100223,16.62182808,33,1865
0,45,66943367223,0.030911818,44.38829422,55,1825
0,4,64846398098,0.001896249,38.31672668,35,1928
0,7,24207947898,0.014162409,19.06466484,35,1795
0,5,12182267110,0.000218273,18.28455925,44,1742
0,18,11934704583,0.003340099,19.02103424,41,1872
0,30,86934835312,0.006236448,16.23606682,43,1864
0,23,16848714007,0.080482039,19.84858513,44,1799
0,40,63199366096,0.019517983,18.84055138,44,1768
0,7,11887429552,0.036027541,43.9863205,41,1934
0,32,52023778574,0.068189827,22.61447906,51,1793
0,40,50137129888,0.007894574,26.81612968,41,1848
0,43,36630683997,0.01542983,27.62150764,49,1873
0,8,97942332121,0.005062299,30.8971405,52,1895
0,38,2483342469,0.015409213,19.88101006,44,1778
0,44,61306219014,0.034115317,41.41664505,45,1805
0,12,78569858942,0.032934194,42.74749756,35,1877
0,33,91421349149,0.058174559,18.76282692,38,1793
0,42,93779397720,0.007428587,23.25963974,59,1920
0,13,53193930140,0.027414296,38.88201714,38,1755
0,3,78288355528,0.000229302,48.72846603,45,1857
0,37,8261000597,0.004527513,40.92264175,49,1802
0,8,90315635426,0.025495577,38.95115852,41,1866
0,2,95391656925,0.028073714,37.83416748,34,1910
